name,From,To,Pos,Ht,Wt,Birth Date,College,player_headshot,player_id
Pete Lalich,1947,1947,F,6-2,190,1920-06-23,Ohio University,,2251
Bo Lamar,1974,1977,G,6-1,180,1951-04-7,University of Louisiana at Lafayette,,2252
Doron Lamb,2013,2014,G,6-4,210,1991-11-6,University of Kentucky,"static/useful_pics/Doron Lamb.png",2253
Jeremy Lamb,2013,2017,G-F,6-5,185,1992-05-30,University of Connecticut,"static/useful_pics/Jeremy Lamb.png",2254
John Lambert,1976,1982,C-F,6-10,225,1953-01-14,University of Southern California,,2255
Jeff Lamp,1982,1989,F-G,6-6,195,1959-03-9,University of Virginia,,2256
Maciej Lampe,2004,2006,C,6-11,275,1985-02-5,,,2257
Jim Lampley,1987,1987,C,6-10,230,1960-07-2,University of Arkansas at Little Rock,,2258
Sean Lampley,2003,2004,F,6-7,227,1979-09-3,University of California,,2259
Carl Landry,2008,2016,F,6-9,248,1983-09-19,Purdue University,"static/useful_pics/Carl Landry.png",2260
Marcus Landry,2010,2010,F,6-7,230,1985-11-1,University of Wisconsin,"static/useful_pics/Marcus Landry.png",2261
Mark Landsberger,1978,1984,F-C,6-8,215,1955-05-21,Arizona State University,,2262
Jerome Lane,1989,1993,F,6-6,230,1966-12-4,University of Pittsburgh,,2263
Andrew Lang,1989,2000,C,6-11,245,1966-06-28,University of Arkansas,,2264
Antonio Lang,1995,2000,F-G,6-8,205,1972-05-15,Duke University,,2265
James Lang,2007,2007,C,6-10,285,1983-10-17,,,2266
Trajan Langdon,2000,2002,G,6-3,197,1976-05-13,Duke University,,2267
Keith Langford,2008,2008,G,6-4,215,1983-09-15,University of Kansas,,2268
Dan Langhi,2001,2004,F,6-11,220,1977-11-28,Vanderbilt University,,2269
Bob Lanier,1971,1984,C,6-11,250,1948-09-10,St. Bonaventure University,,2270
Stu Lantz,1969,1976,G,6-3,175,1946-07-13,University of Nebraska,,2271
Nicolas Laprovittola,2017,2017,G,6-4,180,1990-01-31,,,2272
York Larese,1962,1962,G,6-4,183,1938-07-18,University of North Carolina,,2273
Shane Larkin,2014,2016,G,5-11,175,1992-10-2,University of Miami,,2274
Rusty LaRue,1998,2004,G,6-2,210,1973-12-10,Wake Forest University,,2275
Rudy LaRusso,1960,1969,F-C,6-7,220,1937-11-11,Dartmouth College,,2276
John Laskowski,1976,1977,G,6-6,185,1953-06-7,Indiana University,,2277
Stephane Lasme,2008,2008,F,6-8,215,1982-12-17,University of Massachusetts Amherst,,2278
Dave Lattin,1968,1973,F-C,6-6,225,1943-12-23,University of Texas at El Paso,,2279
Priest Lauderdale,1997,1998,C,7-4,325,1973-08-31,Central State University,,2280
Rich Laurel,1978,1978,G,6-6,190,1954-07-11,Hofstra University,,2281
Harry Laurie,1971,1971,G,6-1,178,1944-11-2,Saint Peter's College,,2282
Walt Lautenbach,1950,1950,G-F,6-2,185,1922-11-17,University of Wisconsin,,2283
Joffrey Lauvergne,2015,2017,C-F,6-11,220,1991-09-30,,,2284
Tony Lavelli,1950,1951,F,6-3,185,1926-07-11,Yale University,,2285
Zach LaVine,2015,2017,G,6-5,189,1995-03-10,"University of California, Los Angeles",,2286
Bob Lavoy,1951,1954,F-C,6-7,185,1926-06-29,Western Kentucky University,,2287
Acie Law,2008,2011,G,6-3,195,1985-01-25,Texas A&M University,"static/useful_pics/Acie Law.png",2288
Gani Lawal,2011,2011,F,6-9,234,1988-11-7,Georgia Institute of Technology,"static/useful_pics/Gani Lawal.png",2289
Edmund Lawrence,1981,1981,C,7-0,228,1952-12-8,McNeese State University,,2290
Jason Lawson,1998,1998,C,6-11,240,1974-09-2,Villanova University,,2291
Ty Lawson,2010,2017,G,5-11,195,1987-11-3,University of North Carolina,"static/useful_pics/Ty Lawson.png",2292
Jake Layman,2017,2017,F,6-9,210,1994-03-7,University of Maryland,,2293
Mo Layton,1972,1978,G,6-1,180,1948-12-24,University of Southern California,,2294
Manny Leaks,1969,1974,C-F,6-8,225,1945-11-27,Niagara University,,2295
Hal Lear,1957,1957,G,6-0,163,1935-01-31,Temple University,,2296
Allen Leavell,1980,1989,G,6-1,170,1957-05-27,Oklahoma City University,,2297
Jeff Lebo,1990,1990,G,6-2,180,1966-10-5,University of North Carolina,,2298
Eric Leckner,1989,1997,C-F,6-11,265,1966-05-27,University of Wyoming,,2299
Ricky Ledo,2014,2015,G,6-7,195,1992-09-10,,,2300
Butch Lee,1979,1980,G,6-0,185,1956-12-5,Marquette University,,2301
Clyde Lee,1967,1976,F-C,6-10,205,1944-03-14,Vanderbilt University,,2302
Courtney Lee,2009,2017,G,6-5,200,1985-10-3,Western Kentucky University,"static/useful_pics/Courtney Lee.png",2303
David Lee,1968,1969,F,6-7,225,1942-03-31,University of San Francisco,"static/useful_pics/David Lee.png",2304
David Lee,2006,2017,F,6-9,245,1983-04-29,University of Florida,"static/useful_pics/David Lee.png",2305
Dick Lee,1968,1968,F,6-6,,,University of Washington,,2306
Doug Lee,1992,1995,G-F,6-5,200,1964-10-24,Purdue University,,2307
George Lee,1961,1968,F-G,6-4,200,1936-11-23,University of Michigan,,2308
Greg Lee,1975,1976,G,6-3,190,1951-12-12,"University of California, Los Angeles",,2309
Keith Lee,1986,1989,F-C,6-10,215,1962-12-28,University of Memphis,,2310
Kurk Lee,1991,1991,G,6-3,190,1967-06-3,Towson University,,2311
Malcolm Lee,2012,2015,G,6-5,200,1990-05-22,"University of California, Los Angeles","static/useful_pics/Malcolm Lee.png",2312
Rock Lee,1982,1982,C,6-10,220,1955-05-1,San Diego State University,,2313
Ron Lee,1977,1982,G,6-4,193,1952-11-2,University of Oregon,,2314
Russ Lee,1973,1975,G-F,6-5,185,1950-01-27,Marshall University,,2315
Ed Leede,1950,1951,F-G,6-3,185,1927-07-17,Dartmouth College,,2316
Hank Lefkowitz,1947,1947,F,6-2,190,1923-08-31,Case Western Reserve University,,2317
Tim Legler,1990,2000,G,6-4,200,1966-12-26,La Salle University,,2318
George Lehmann,1968,1974,G,6-0,180,1942-05-1,Campbell University,,2319
Alex Len,2014,2017,C,7-1,260,1993-06-16,University of Maryland,,2320
Voshon Lenard,1996,2006,G,6-4,205,1973-05-14,University of Minnesota,,2321
Leary Lentz,1968,1969,F,6-6,200,1945-02-23,University of Houston,,2322
Gary Leonard,1990,1992,C,7-1,250,1967-02-16,University of Missouri,,2323
Kawhi Leonard,2012,2017,F,6-7,230,1991-06-29,San Diego State University,"static/useful_pics/Kawhi Leonard.png",2324
Meyers Leonard,2013,2017,C-F,7-1,245,1992-02-27,University of Illinois at Urbana-Champaign,"static/useful_pics/Meyers Leonard.png",2325
Slick Leonard,1957,1963,G,6-3,185,1932-07-17,Indiana University,,2326
Jim Les,1989,1995,G,5-11,165,1963-08-18,Bradley University,,2327
Travis Leslie,2012,2012,G,6-4,205,1990-03-29,University of Georgia,"static/useful_pics/Travis Leslie.png",2328
Ronnie Lester,1981,1986,G,6-2,175,1959-01-1,University of Iowa,,2329
Clifford Lett,1990,1991,G,6-3,170,1965-12-23,University of Florida,,2330
Jon Leuer,2012,2017,F,6-10,228,1989-05-14,University of Wisconsin,"static/useful_pics/Jon Leuer.png",2331
Andrew Levane,1949,1953,F-G,6-2,190,1920-04-11,St. John's University,,2332
Fat Lever,1983,1994,G,6-3,170,1960-08-18,Arizona State University,,2333
Caris LeVert,2017,2017,G-F,6-7,203,1994-08-25,University of Michigan,,2334
Cliff Levingston,1983,1995,F,6-8,210,1961-01-4,Wichita State University,,2335
Bobby Lewis,1968,1971,G,6-3,175,1945-03-20,University of North Carolina,,2336
Cedric Lewis,1996,1996,F-C,6-10,235,1969-09-24,University of Maryland,,2337
Freddie Lewis,1949,1950,F-G,6-2,195,1921-01-6,Eastern Kentucky University,,2338
Freddie Lewis,1967,1977,G,6-0,175,1943-07-1,Arizona State University,,2339
Grady Lewis,1947,1949,F-C,6-7,215,1917-03-25,University of Oklahoma,,2340
Martin Lewis,1996,1997,F,6-5,210,1975-04-28,Seward County Community College,,2341
Mike Lewis,1969,1974,C-F,6-8,225,1946-03-18,Duke University,,2342
Quincy Lewis,2000,2004,F,6-7,215,1977-06-26,University of Minnesota,,2343
Ralph Lewis,1988,1990,G,6-6,200,1963-03-28,La Salle University,,2344
Rashard Lewis,1999,2014,F,6-10,215,1979-08-8,,"static/useful_pics/Rashard Lewis.png",2345
Reggie Lewis,1988,1993,G-F,6-7,195,1965-11-21,Northeastern University,,2346
Marcus Liberty,1991,1994,F,6-8,205,1968-10-27,University of Illinois at Urbana-Champaign,,2347
Todd Lichti,1990,1994,G-F,6-4,205,1967-01-8,Stanford University,,2348
Barry Liebowitz,1968,1968,G,6-2,180,1945-09-10,Long Island University,,2349
DeAndre Liggins,2012,2017,G,6-6,209,1988-03-31,University of Kentucky,"static/useful_pics/DeAndre Liggins.png",2350
Bill Ligon,1975,1975,G,6-4,180,1952-05-29,Vanderbilt University,,2351
Goose Ligon,1968,1974,F-C,6-7,210,1944-02-22,,,2352
Damian Lillard,2013,2017,G,6-3,195,1990-07-15,Weber State University,"static/useful_pics/Damian Lillard.png",2353
Jeremy Lin,2011,2017,G,6-3,200,1988-08-23,Harvard University,"static/useful_pics/Jeremy Lin.png",2354
Steve Lingenfelter,1983,1984,F,6-9,225,1958-06-10,South Dakota State University,,2355
Alton Lister,1982,1998,C-F,7-0,240,1958-10-1,Arizona State University,,2356
Samuel Little,1970,1970,G,6-0,180,1946-03-29,Delta State University,,2357
Gene Littles,1970,1975,G,6-0,160,1943-06-29,High Point University,,2358
Randy Livingston,1997,2007,G,6-4,209,1975-04-2,Louisiana State University,,2359
Shaun Livingston,2005,2017,G,6-7,192,1985-09-11,,"static/useful_pics/Shaun Livingston.png",2360
Ron Livingstone,1950,1951,C,6-10,220,1925-10-9,University of Wyoming,,2361
Horacio Llamas Grey,1997,1998,C,6-11,285,1973-07-17,Grand Canyon University,,2362
Bobby Lloyd,1968,1969,G,6-2,184,1946-01-3,Rutgers University,,2363
Chuck Lloyd,1971,1971,C-F,6-8,220,1947-05-22,Yankton College,,2364
Earl Lloyd,1951,1960,F-C,6-5,200,1928-04-3,West Virginia State University,,2365
Lewis Lloyd,1982,1990,G-F,6-6,205,1959-02-22,Drake University,,2366
Scott Lloyd,1977,1983,C-F,6-10,230,1952-12-19,Arizona State University,,2367
Riney Lochmann,1968,1970,F,6-6,215,1944-05-26,University of Kansas,,2368
Bob Lochmueller,1953,1953,F,6-5,185,1927-06-5,University of Louisville,,2369
Rob Lock,1989,1989,F,6-9,225,1966-05-22,University of Kentucky,,2370
Darrell Lockhart,1984,1984,C,6-9,245,1960-09-14,Auburn University,,2371
Ian Lockhart,1991,1991,F,6-8,240,1967-06-25,University of Tennessee,,2372
Kevin Loder,1982,1984,F-G,6-6,205,1959-03-15,Alabama State University,,2373
Don Lofgran,1951,1954,F-C,6-5,200,1928-11-18,University of San Francisco,,2374
Henry Logan,1969,1970,G,6-0,180,1946-03-14,Western Carolina University,,2375
John Logan,1947,1951,G,6-2,175,1921-01-1,Indiana University,,2376
Brad Lohaus,1988,1998,F-C,6-11,230,1964-09-29,University of Iowa,,2377
Art Long,2001,2003,F,6-9,250,1972-10-1,University of Cincinnati,,2378
Grant Long,1989,2003,F,6-8,225,1966-03-12,Eastern Michigan University,,2379
John Long,1979,1997,G-F,6-5,195,1956-08-28,University of Detroit Mercy,,2380
Paul Long,1968,1971,G,6-2,180,1944-02-8,Wake Forest University,,2381
Willie Long,1972,1974,F-C,6-8,225,1950-03-1,University of New Mexico,,2382
Luc Longley,1992,2001,C,7-2,265,1969-01-19,University of New Mexico,,2383
Kevon Looney,2016,2017,F-C,6-9,220,1996-02-6,"University of California, Los Angeles",,2384
Brook Lopez,2009,2017,C,7-0,275,1988-04-1,Stanford University,"static/useful_pics/Brook Lopez.png",2385
Felipe Lopez,1999,2002,G,6-5,199,1974-12-19,St. John's University,,2386
Raul Lopez,2004,2005,G,6-1,170,1980-04-15,,,2387
Robin Lopez,2009,2017,C,7-0,255,1988-04-1,Stanford University,"static/useful_pics/Robin Lopez.png",2388
Ryan Lorthridge,1995,1995,G,6-4,190,1972-07-27,Jackson State University,,2389
Jim Loscutoff,1956,1964,F,6-5,220,1930-02-4,University of Oregon,,2390
Plummer Lott,1968,1969,F-G,6-5,210,1945-12-11,Seattle University,,2391
Kevin Loughery,1963,1973,G,6-3,190,1940-03-28,St. John's University,,2392
Bob Love,1967,1977,F,6-8,215,1942-12-8,Southern University and A&M College,,2393
Kevin Love,2009,2017,F,6-10,251,1988-09-7,"University of California, Los Angeles","static/useful_pics/Kevin Love.png",2394
Stan Love,1972,1975,F,6-9,215,1949-04-9,University of Oregon,,2395
Clyde Lovellette,1954,1964,C-F,6-9,234,1929-09-7,University of Kansas,,2396
Sidney Lowe,1984,1990,G,6-0,195,1960-01-21,North Carolina State University,,2397
Charlie Lowery,1972,1972,G,6-3,185,1949-11-12,University of Puget Sound,,2398
Kyle Lowry,2007,2017,G,6-1,196,1986-03-25,Villanova University,"static/useful_pics/Kyle Lowry.png",2399
Al Lucas,1949,1949,F-G,6-3,195,1922-07-4,Fordham University,,2400
Jerry Lucas,1964,1974,F-C,6-8,230,1940-03-30,Ohio State University,,2401
John Lucas,1977,1990,G,6-3,175,1953-10-31,University of Maryland,"static/useful_pics/John Lucas.png",2402
Kalin Lucas,2015,2015,G,6-1,195,1989-05-24,Michigan State University,,2403
Maurice Lucas,1975,1988,F-C,6-9,215,1952-02-18,Marquette University,,2404
John Lucas III,2006,2017,G,5-11,166,1982-11-21,Oklahoma State University,,2405
Ted Luckenbill,1962,1963,F,6-6,205,1939-07-27,University of Houston,,2406
Tyronn Lue,1999,2009,G,6-0,175,1977-05-3,University of Nebraska,"static/useful_pics/Tyronn Lue.png",2407
Jim Luisi,1954,1954,G,6-2,180,1928-11-2,St. Francis College,,2408
Al Lujack,1947,1947,F,6-3,220,1920-10-5,Georgetown University,,2409
Phil Lumpkin,1975,1976,G,6-0,165,1951-12-20,Miami University,,2410
Ray Lumpp,1949,1953,G,6-1,178,1923-07-11,New York University,,2411
Timothe Luwawu-Cabarrot,2017,2017,F,6-6,205,1995-05-9,,,2412
Trey Lyles,2016,2017,F,6-10,234,1995-11-5,University of Kentucky,,2413
R.B. Lynam,1968,1968,G,6-1,190,,Oklahoma Baptist University,,2414
George Lynch,1994,2005,F,6-8,218,1970-09-3,University of North Carolina,,2415
Kevin Lynch,1992,1993,G-F,6-5,195,1968-12-24,University of Minnesota,,2416
Lonnie Lynn,1970,1970,F,6-7,215,1943-05-24,Wilberforce University,,2417
Mike Lynn,1970,1971,F,6-7,215,1945-11-25,"University of California, Los Angeles",,2418
Mike Macaluso,1974,1974,F,6-5,210,1951-07-20,Canisius College,,2419
Ed Macauley,1950,1959,C-F,6-8,185,1928-03-22,Saint Louis University,,2420
Todd MacCulloch,2000,2003,C,7-0,280,1976-01-27,University of Washington,,2421
Ronnie MacGilvray,1955,1955,G,6-2,185,1930-07-20,St. John's University,,2422
Scott Machado,2013,2013,G,6-1,205,1990-06-8,Iona College,"static/useful_pics/Scott Machado.png",2423
Arvydas Macijauskas,2006,2006,G,6-4,214,1980-01-19,,,2424
Ollie Mack,1980,1982,G,6-3,185,1957-06-6,East Carolina University,,2425
Sam Mack,1993,2002,F-G,6-7,220,1970-05-26,University of Houston,,2426
Shelvin Mack,2012,2017,G,6-3,203,1990-04-22,Butler University,"static/useful_pics/Shelvin Mack.png",2427
Malcolm Mackey,1994,1994,F-C,6-9,248,1970-07-11,Georgia Institute of Technology,,2428
Rudy Macklin,1982,1984,F-G,6-7,205,1958-02-19,Louisiana State University,,2429
Vernon Macklin,2012,2012,F,6-10,227,1986-09-20,University of Florida,"static/useful_pics/Vernon Macklin.png",2430
Johnny Macknowski,1950,1951,G-F,6-0,180,1923-01-7,Seton Hall University,,2431
Don MacLean,1993,2001,F,6-10,235,1970-01-16,"University of California, Los Angeles",,2432
Mark Macon,1992,1999,G,6-4,185,1969-04-14,Temple University,,2433
Kyle Macy,1981,1987,G,6-3,175,1957-04-9,University of Kentucky,,2434
Jack Maddox,1949,1949,F-G,6-3,185,1919-12-10,West Texas A&M University,,2435
Tito Maddox,2003,2003,G,6-4,190,1981-06-7,"California State University, Fresno",,2436
Gerald Madkins,1994,1998,G,6-4,200,1969-04-18,"University of California, Los Angeles",,2437
Mark Madsen,2001,2009,F,6-9,240,1976-01-28,Stanford University,"static/useful_pics/Mark Madsen.png",2438
Norm Mager,1951,1951,F,6-5,185,1926-03-23,City College of New York,,2439
Corey Maggette,2000,2013,F,6-6,218,1979-11-12,Duke University,"static/useful_pics/Corey Maggette.png",2440
Dave Magley,1983,1983,F,6-8,202,1959-11-24,University of Kansas,,2441
Jamaal Magloire,2001,2012,C,6-11,259,1978-05-21,University of Kentucky,"static/useful_pics/Jamaal Magloire.png",2442
Randolph Mahaffey,1968,1971,F,6-7,210,1945-09-28,Clemson University,,2443
Ian Mahinmi,2008,2017,C,6-11,250,1986-11-5,,"static/useful_pics/Ian Mahinmi.png",2444
John Mahnken,1947,1953,C,6-8,220,1922-06-16,Georgetown University,,2445
Brian Mahoney,1973,1973,G,6-3,175,1948-12-17,Manhattan College,,2446
Mo Mahoney,1953,1954,F,6-2,205,1927-11-20,Brown University,,2447
Rick Mahorn,1981,1999,C-F,6-10,240,1958-09-21,Hampton University,,2448
Dan Majerle,1989,2002,G-F,6-6,215,1965-09-9,Central Michigan University,,2449
Renaldo Major,2007,2007,F,6-7,200,1982-05-7,"California State University, Fresno",,2450
Thon Maker,2017,2017,F-C,7-1,216,1997-02-25,,,2451
Lionel Malamed,1949,1949,G,5-9,150,1924-11-15,City College of New York,,2452
Jeff Malone,1984,1996,G,6-4,205,1961-06-28,Mississippi State University,,2453
Karl Malone,1986,2004,F,6-9,250,1963-07-24,Louisiana Tech University,,2454
Moses Malone,1975,1995,C-F,6-10,215,1955-03-23,,,2455
Matt Maloney,1997,2003,G,6-3,192,1971-12-6,University of Pennsylvania,,2456
Steve Malovic,1980,1980,F,6-10,230,1956-07-21,San Diego State University,,2457
Mike Maloy,1971,1973,F,6-7,215,1949-05-10,Davidson College,,2458
Ted Manakas,1974,1974,G,6-2,180,1951-02-22,Princeton University,,2459
John Mandic,1949,1950,F-C,6-4,205,1919-10-3,Oregon State University,,2460
Frank Mangiapane,1947,1947,G,5-10,195,1925-08-5,New York University,,2461
Danny Manning,1989,2003,F-C,6-10,230,1966-05-17,University of Kansas,,2462
Ed Manning,1968,1976,F,6-7,210,1944-01-2,Jackson State University,,2463
Guy Manning,1968,1969,F,6-6,195,1944-02-4,Prairie View A&M University,,2464
Rich Manning,1996,1997,C,6-11,253,1970-06-23,University of Washington,,2465
Pace Mannion,1984,1989,G,6-7,190,1960-09-22,University of Utah,,2466
Nick Mantis,1960,1963,G,6-3,190,1935-12-7,Northwestern University,,2467
Pete Maravich,1971,1980,G,6-5,197,1947-06-22,Louisiana State University,,2468
Press Maravich,1947,1947,G,6-0,185,1920-08-20,Davis & Elkins College,,2469
Devyn Marble,2015,2016,G-F,6-6,200,1992-09-21,University of Iowa,,2470
Roy Marble,1990,1994,G-F,6-6,190,1966-12-13,University of Iowa,,2471
Stephon Marbury,1997,2009,G,6-2,180,1977-02-20,Georgia Institute of Technology,,2472
Sarunas Marciulionis,1990,1997,G,6-5,200,1964-06-13,,,2473
Saul Mariaschin,1948,1948,G,5-11,165,1924-09-1,Harvard University,,2474
Jack Marin,1967,1977,F-G,6-7,200,1944-10-12,Duke University,,2475
Shawn Marion,2000,2015,F,6-7,220,1978-05-7,"University of Nevada, Las Vegas","static/useful_pics/Shawn Marion.png",2476
Boban Marjanovic,2016,2017,C,7-3,290,1988-08-15,,,2477
Damir Markota,2007,2007,C,6-10,225,1985-12-26,,,2478
Sean Marks,1999,2011,F-C,6-10,250,1975-08-23,University of California,"static/useful_pics/Sean Marks.png",2479
Harvey Marlatt,1971,1973,G,6-3,185,1948-08-26,Eastern Michigan University,,2480
Jim Marsh,1972,1972,F,6-7,215,1946-04-26,University of Southern California,,2481
Ricky Marsh,1978,1978,G,6-3,200,1954-03-10,Manhattan College,,2482
Donny Marshall,1996,2003,F,6-7,230,1972-07-17,University of Connecticut,,2483
Donyell Marshall,1995,2009,F,6-9,218,1973-05-18,University of Connecticut,,2484
Kendall Marshall,2013,2016,G,6-4,200,1991-08-19,University of North Carolina,"static/useful_pics/Kendall Marshall.png",2485
Rawle Marshall,2006,2007,G-F,6-9,190,1982-02-20,Oakland University,,2486
Tom Marshall,1955,1959,F-G,6-4,215,1931-01-6,Western Kentucky University,,2487
Vester Marshall,1974,1974,F,6-7,200,1948-12-22,University of Oklahoma,,2488
Bill Martin,1986,1988,F,6-7,205,1962-08-16,Georgetown University,,2489
Bob Martin,1994,1995,C,7-0,250,1969-10-7,University of Minnesota,,2490
Brian Martin,1986,1986,F,6-9,212,1962-08-18,University of Kansas,,2491
Cartier Martin,2009,2015,F,6-7,220,1984-11-20,Kansas State University,"static/useful_pics/Cartier Martin.png",2492
Cuonzo Martin,1996,1997,G-F,6-5,213,1971-09-23,Purdue University,,2493
Darrick Martin,1995,2008,G,5-11,170,1971-03-6,"University of California, Los Angeles","static/useful_pics/Darrick Martin.png",2494
Dino Martin,1947,1948,G,5-8,160,1920-05-25,Georgetown University,,2495
Don Martin,1947,1949,C-F,6-7,210,1920-02-7,Central Missouri State University,,2496
Fernando Martin,1987,1987,C,6-9,220,1962-03-25,,,2497
Jarell Martin,2016,2017,F,6-10,239,1994-05-24,Louisiana State University,,2498
Jeff Martin,1990,1991,G,6-5,195,1967-01-14,Murray State University,,2499
Kenyon Martin,2001,2015,F,6-9,234,1977-12-30,University of Cincinnati,"static/useful_pics/Kenyon Martin.png",2500
Kevin Martin,2005,2016,G,6-7,199,1983-02-1,Western Carolina University,"static/useful_pics/Kevin Martin.png",2501
LaRue Martin,1973,1976,C,6-11,208,1950-03-30,Loyola University of Chicago,,2502
Maurice Martin,1987,1988,F-G,6-6,200,1964-07-2,Saint Joseph's University,,2503
Phil Martin,1955,1955,G,6-3,190,1928-04-2,University of Toledo,,2504
Slater Martin,1950,1960,G,5-10,170,1925-10-22,University of Texas at Austin,,2505
Whitey Martin,1962,1962,G,6-2,185,1939-04-11,St. Bonaventure University,,2506
Jamal Mashburn,1994,2004,F,6-8,240,1972-11-29,University of Kentucky,,2507
Al Masino,1953,1954,G,5-10,174,1928-02-5,Canisius College,,2508
Anthony Mason,1990,2003,F,6-7,250,1966-12-14,Tennessee State University,,2509
Desmond Mason,2001,2010,F,6-7,224,1977-10-11,Oklahoma State University,,2510
Roger Mason,2003,2014,G,6-5,200,1980-09-10,University of Virginia,"static/useful_pics/Roger Mason.png",2511
Tony Massenburg,1991,2005,F,6-9,220,1967-07-31,University of Maryland,,2512
Eddie Mast,1971,1973,F-C,6-9,220,1948-10-3,Temple University,,2513
Johnny Mathis,1968,1968,F,6-6,220,1943-07-14,Savannah State University,,2514
Wes Matthews,1981,1990,G,6-1,170,1959-08-24,University of Wisconsin,,2515
Wesley Matthews,2010,2017,G,6-5,220,1986-10-14,Marquette University,"static/useful_pics/Wesley Matthews.png",2516
Ariel Maughan,1947,1951,F,6-4,190,1923-04-26,Utah State University,,2517
Marlon Maxey,1993,1994,F,6-8,250,1969-02-19,University of Texas at El Paso,,2518
Jason Maxiell,2006,2015,F,6-7,260,1983-02-18,University of Cincinnati,"static/useful_pics/Jason Maxiell.png",2519
Cedric Maxwell,1978,1988,F,6-8,205,1955-11-21,University of North Carolina at Charlotte,,2520
Vernon Maxwell,1989,2001,G,6-4,180,1965-09-12,University of Florida,,2521
Don May,1969,1975,F,6-4,200,1946-01-3,University of Dayton,,2522
Scott May,1977,1983,F,6-7,215,1954-03-19,Indiana University,,2523
Sean May,2006,2010,F,6-9,266,1984-04-4,University of North Carolina,"static/useful_pics/Sean May.png",2524
Lee Mayberry,1993,1999,G,6-1,172,1970-06-12,University of Arkansas,,2525
Clyde Mayes,1976,1977,F,6-8,225,1953-03-17,Furman University,,2526
Tharon Mayes,1992,1992,G,6-3,175,1968-09-9,Florida State University,,2527
Bill Mayfield,1981,1981,F,6-7,205,1957-10-17,University of Iowa,,2528
Ken Mayfield,1976,1976,G,6-2,185,1948-05-11,Tuskegee University,,2529
Eric Maynor,2010,2014,G,6-3,175,1987-06-11,Virginia Commonwealth University,"static/useful_pics/Eric Maynor.png",2530
O.J. Mayo,2009,2016,G,6-5,210,1987-11-5,University of Southern California,"static/useful_pics/O.J. Mayo.png",2531
Travis Mays,1991,1993,G,6-2,190,1968-06-19,University of Texas at Austin,,2532
Matt Mazza,1950,1950,F,6-3,210,1923-09-23,Michigan State University,,2533
Luc Mbah a Moute,2009,2017,F,6-8,230,1986-09-9,"University of California, Los Angeles","static/useful_pics/Luc Mbah a Moute.png",2534
Bob McAdoo,1973,1986,C-F,6-9,210,1951-09-25,University of North Carolina,,2535
James Michael McAdoo,2015,2017,F,6-9,230,1993-01-4,University of North Carolina,,2536
Ken McBride,1955,1955,G-F,6-3,190,,University of Maryland Eastern Shore,,2537
Ray McCallum,2014,2016,G,6-3,190,1991-06-12,University of Detroit Mercy,,2538
Bob McCann,1990,1998,F,6-6,244,1964-04-22,Morehead State University,,2539
Brendan McCann,1958,1960,G,6-2,178,1935-07-5,St. Bonaventure University,,2540
Mel McCants,1990,1990,F,6-8,240,1967-08-19,Purdue University,,2541
Rashad McCants,2006,2009,G,6-4,207,1984-09-25,University of North Carolina,,2542
Mike McCarron,1947,1950,G,5-11,180,1922-03-2,Seton Hall University,,2543
Andre McCarter,1977,1981,G,6-3,190,1953-08-25,"University of California, Los Angeles",,2544
Willie McCarter,1970,1972,G,6-3,175,1946-07-26,Drake University,,2545
Johnny McCarthy,1957,1964,G,6-1,185,1934-04-25,Canisius College,,2546
Howie McCarty,1947,1947,F-G,6-2,190,,Wayne State University,,2547
Kelly McCarty,1999,1999,G-F,6-7,200,1975-08-24,University of Southern Mississippi,,2548
Walter McCarty,1997,2006,F,6-10,230,1974-02-1,University of Kentucky,,2549
Amal McCaskill,1997,2004,F-C,6-11,235,1973-10-28,Marquette University,,2550
Patrick McCaw,2017,2017,G,6-7,185,1995-10-25,"University of Nevada, Las Vegas",,2551
Dwayne McClain,1986,1986,G,6-6,185,1963-02-7,Villanova University,,2552
Ted McClain,1972,1979,G,6-1,180,1946-08-30,Tennessee State University,,2553
Sheldon McClellan,2017,2017,G,6-5,200,1992-12-21,University of Miami,,2554
Dan McClintock,2001,2001,C,7-0,270,1977-04-19,Northern Arizona University,,2555
Jack McCloskey,1953,1953,G,6-2,190,1925-09-19,University of Pennsylvania,,2556
George McCloud,1990,2002,G-F,6-6,205,1967-05-27,Florida State University,,2557
C.J. McCollum,2014,2017,G,6-4,200,1991-09-19,Lehigh University,,2558
John McConathy,1952,1952,F,6-5,195,1930-04-9,Northwestern State University,,2559
Bucky McConnell,1953,1953,G,5-10,170,1928-07-1,Marshall University,,2560
T.J. McConnell,2016,2017,G,6-2,200,1992-03-25,University of Arizona,,2561
Keith McCord,1981,1981,G,6-7,210,1957-06-22,University of Alabama at Birmingham,,2562
Tim McCormick,1985,1992,C,6-11,240,1962-03-10,University of Michigan,,2563
Jelani McCoy,1999,2008,C,6-10,245,1977-12-6,"University of California, Los Angeles",,2564
Paul McCracken,1973,1977,G,6-4,180,1950-09-11,"California State University, Northridge",,2565
Chris McCray,2007,2007,G,6-5,192,1984-05-27,University of Maryland,,2566
Rodney McCray,1984,1993,F-G,6-7,220,1961-08-29,University of Louisville,,2567
Scooter McCray,1984,1987,F-G,6-9,215,1960-02-8,University of Louisville,,2568
Chris McCullough,2016,2017,F,6-11,200,1995-02-5,Syracuse University,,2569
